epoch,learning_rate,loss,val_loss
0,9.999999747378752e-06,0.8482311367988586,0.6697815656661987
1,9.999999747378752e-06,0.6666451096534729,0.577795147895813
2,9.999999747378752e-06,0.586698055267334,0.5059274435043335
3,9.999999747378752e-06,0.5301538705825806,0.4650518596172333
4,9.999999747378752e-06,0.48672348260879517,0.4253528416156769
5,9.999999747378752e-06,0.4553157091140747,0.3999500870704651
6,9.999999747378752e-06,0.43323734402656555,0.38686421513557434
7,9.999999747378752e-06,0.4154118597507477,0.3723350465297699
8,9.999999747378752e-06,0.4009062349796295,0.35788822174072266
9,9.999999747378752e-06,0.3883352279663086,0.34885716438293457
