epoch,learning_rate,loss,val_loss
0,9.999999747378752e-06,0.6200782060623169,0.47865766286849976
1,9.999999747378752e-06,0.4933027923107147,0.43529051542282104
2,9.999999747378752e-06,0.4509696662425995,0.3908662497997284
3,9.999999747378752e-06,0.4253982901573181,0.3864685297012329
4,9.999999747378752e-06,0.4063740372657776,0.3673674762248993
5,9.999999747378752e-06,0.3913829028606415,0.35768985748291016
6,9.999999747378752e-06,0.3783079981803894,0.3615751564502716
7,9.999999747378752e-06,0.3667225241661072,0.35623499751091003
8,9.999999747378752e-06,0.3550179898738861,0.33905228972435
9,9.999999747378752e-06,0.3444446921348572,0.34004244208335876
